#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
San Francisco, California  ; Denver, Colorado          ;            5;       7;  639;     0
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      51;  822;     1
San Francisco, California  ; Salt Lake City, Utah      ;            7;      54;  892;     2
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      68;  704;     3
San Francisco, California  ; Salt Lake City, Utah      ;            3;      72;  993;     4
San Francisco, California  ; Denver, Colorado          ;            8;      94;  997;     5
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      51;  741;     6
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      20;  880;     7
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      87;  757;     8
Salt Lake City, Utah       ; Madison, Wisconsin        ;           10;      37;  739;     9
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      66;  657;    10
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      27;  640;    11
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      98;  702;    12
Kansas City, Missouri      ; Denver, Colorado          ;            6;      52;  776;    13
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      84;  846;    14
San Francisco, California  ; Denver, Colorado          ;           10;      28;  639;    15
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      50;  636;    16
San Francisco, California  ; Salt Lake City, Utah      ;            5;      67;  701;    17
San Francisco, California  ; Kansas City, Missouri     ;            9;      30;  828;    18
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      32;  879;    19
San Francisco, California  ; Denver, Colorado          ;            2;      64;  832;    20
Denver, Colorado           ; Madison, Wisconsin        ;            5;      78;  788;    21
Denver, Colorado           ; Madison, Wisconsin        ;            6;      66;  887;    22
San Francisco, California  ; Salt Lake City, Utah      ;            8;      92;  646;    23
San Francisco, California  ; Madison, Wisconsin        ;            1;       3;  693;    24
Denver, Colorado           ; Madison, Wisconsin        ;            9;      69;  807;    25
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      88;  834;    26
San Francisco, California  ; Madison, Wisconsin        ;            7;      78;  753;    27
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      65;  899;    28
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      10;  907;    29
Kansas City, Missouri      ; Denver, Colorado          ;            8;      54;  617;    30
Denver, Colorado           ; Kansas City, Missouri     ;            7;      10;  700;    31
Salt Lake City, Utah       ; Denver, Colorado          ;            3;       2;  789;    32
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      90;  714;    33
San Francisco, California  ; Denver, Colorado          ;            3;      76;  804;    34
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      91;  824;    35
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      87;  780;    36
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      68;  664;    37
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      12;  982;    38
Denver, Colorado           ; Kansas City, Missouri     ;            5;      57;  716;    39
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      79;  656;    40
Kansas City, Missouri      ; Denver, Colorado          ;            9;      84;  775;    41
Kansas City, Missouri      ; Denver, Colorado          ;            5;      66;  776;    42
Kansas City, Missouri      ; Denver, Colorado          ;            5;      48;  603;    43
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      17;  804;    44
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      47;  891;    45
Kansas City, Missouri      ; Denver, Colorado          ;            8;      10;  860;    46
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      48;  696;    47
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      83;  813;    48
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      90;  683;    49
Kansas City, Missouri      ; Denver, Colorado          ;            1;      25;  906;    50
San Francisco, California  ; Madison, Wisconsin        ;            9;      91;  852;    51
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      61;  722;    52
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      75;  800;    53
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      43;  798;    54
San Francisco, California  ; Denver, Colorado          ;            3;      35;  667;    55
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      27;  867;    56
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      62;  725;    57
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      40;  850;    58
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      73;  741;    59
San Francisco, California  ; Salt Lake City, Utah      ;            2;       1;  783;    60
San Francisco, California  ; Salt Lake City, Utah      ;            9;      52;  856;    61
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      27;  664;    62
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      22;  769;    63
Kansas City, Missouri      ; Denver, Colorado          ;            9;      59;  650;    64
Denver, Colorado           ; Kansas City, Missouri     ;           10;      77;  856;    65
Denver, Colorado           ; Kansas City, Missouri     ;            2;      97;  676;    66
San Francisco, California  ; Madison, Wisconsin        ;            5;      94;  706;    67
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      61;  725;    68
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      29;  726;    69
San Francisco, California  ; Kansas City, Missouri     ;            4;      16;  959;    70
Kansas City, Missouri      ; Denver, Colorado          ;            9;      36;  647;    71
San Francisco, California  ; Denver, Colorado          ;            7;      42;  914;    72
Kansas City, Missouri      ; Denver, Colorado          ;            7;      72;  970;    73
San Francisco, California  ; Kansas City, Missouri     ;           10;      82;  756;    74
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      18;  738;    75
Denver, Colorado           ; Kansas City, Missouri     ;            1;      56;  776;    76
Salt Lake City, Utah       ; Denver, Colorado          ;            5;      26;  974;    77
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      82;  680;    78
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      65;  642;    79
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      13;  747;    80
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      61;  796;    81
San Francisco, California  ; Kansas City, Missouri     ;            7;      67;  707;    82
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;       1;  765;    83
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      88;  912;    84
San Francisco, California  ; Madison, Wisconsin        ;            5;      83;  722;    85
San Francisco, California  ; Madison, Wisconsin        ;            6;       8;  893;    86
Denver, Colorado           ; Kansas City, Missouri     ;            1;      46;  607;    87
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      25;  960;    88
San Francisco, California  ; Kansas City, Missouri     ;           10;      12;  886;    89
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      86;  947;    90
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      18;  648;    91
Kansas City, Missouri      ; Denver, Colorado          ;            1;      35;  694;    92
Kansas City, Missouri      ; Denver, Colorado          ;            6;      85;  751;    93
Denver, Colorado           ; Madison, Wisconsin        ;            4;      62;  737;    94
Denver, Colorado           ; Kansas City, Missouri     ;            7;      93;  948;    95
Kansas City, Missouri      ; Denver, Colorado          ;            1;      44;  673;    96
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      98;  874;    97
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      88;  797;    98
San Francisco, California  ; Denver, Colorado          ;            9;      83;  956;    99
Kansas City, Missouri      ; Denver, Colorado          ;            4;      48;  734;   100
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;       8;  670;   101
Kansas City, Missouri      ; Denver, Colorado          ;            9;      77;  601;   102
Kansas City, Missouri      ; Denver, Colorado          ;            7;      73;  936;   103
Denver, Colorado           ; Kansas City, Missouri     ;            9;      56;  691;   104
San Francisco, California  ; Denver, Colorado          ;            4;      87;  715;   105
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      87;  915;   106
Salt Lake City, Utah       ; Madison, Wisconsin        ;            4;      91;  930;   107
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      22;  857;   108
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      55;  825;   109
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      20;  799;   110
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      96;  708;   111
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      21;  656;   112
San Francisco, California  ; Denver, Colorado          ;            2;      41;  638;   113
San Francisco, California  ; Denver, Colorado          ;            7;      52;  877;   114
San Francisco, California  ; Salt Lake City, Utah      ;            6;      43;  870;   115
Denver, Colorado           ; Madison, Wisconsin        ;            8;      11;  966;   116
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      68;  942;   117
San Francisco, California  ; Denver, Colorado          ;            9;      70;  901;   118
San Francisco, California  ; Denver, Colorado          ;            1;      82;  702;   119
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      49;  919;   120
Denver, Colorado           ; Kansas City, Missouri     ;            7;      77;  880;   121
San Francisco, California  ; Denver, Colorado          ;            1;      89;  666;   122
Kansas City, Missouri      ; Denver, Colorado          ;            2;      59;  981;   123
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      95;  986;   124
Salt Lake City, Utah       ; Denver, Colorado          ;            6;       3;  714;   125
Denver, Colorado           ; Kansas City, Missouri     ;            6;      18;  630;   126
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;       2;  958;   127
