#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      78;  918;     0
San Francisco, California  ; Salt Lake City, Utah      ;            8;      94;  866;     1
Kansas City, Missouri      ; Denver, Colorado          ;            5;      45;  789;     2
San Francisco, California  ; Salt Lake City, Utah      ;            8;      48;  969;     3
San Francisco, California  ; Madison, Wisconsin        ;            8;      46;  893;     4
Denver, Colorado           ; Madison, Wisconsin        ;            6;      76;  625;     5
Denver, Colorado           ; Madison, Wisconsin        ;            6;      68;  831;     6
San Francisco, California  ; Madison, Wisconsin        ;            3;      98;  783;     7
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      98;  978;     8
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      77;  718;     9
San Francisco, California  ; Denver, Colorado          ;           10;      12;  983;    10
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      63;  674;    11
San Francisco, California  ; Denver, Colorado          ;            6;      71;  741;    12
San Francisco, California  ; Denver, Colorado          ;            3;      18;  884;    13
San Francisco, California  ; Madison, Wisconsin        ;            8;      10;  629;    14
San Francisco, California  ; Madison, Wisconsin        ;            3;      71;  880;    15
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      72;  658;    16
San Francisco, California  ; Salt Lake City, Utah      ;            1;      80;  957;    17
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      54;  849;    18
Denver, Colorado           ; Salt Lake City, Utah      ;           10;       7;  620;    19
Denver, Colorado           ; Madison, Wisconsin        ;            8;      96;  657;    20
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      88;  901;    21
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      71;  720;    22
Denver, Colorado           ; Madison, Wisconsin        ;            7;      15;  828;    23
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      89;  999;    24
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      41;  770;    25
Kansas City, Missouri      ; Denver, Colorado          ;            7;      58;  601;    26
San Francisco, California  ; Denver, Colorado          ;            8;      28;  730;    27
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      17;  999;    28
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      17;  741;    29
San Francisco, California  ; Salt Lake City, Utah      ;            7;      60;  627;    30
Denver, Colorado           ; Madison, Wisconsin        ;            1;      13;  734;    31
San Francisco, California  ; Salt Lake City, Utah      ;            8;      77;  684;    32
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      57;  743;    33
San Francisco, California  ; Denver, Colorado          ;            6;      72;  844;    34
San Francisco, California  ; Madison, Wisconsin        ;            5;      88;  995;    35
Denver, Colorado           ; Madison, Wisconsin        ;            7;       7;  784;    36
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      29;  787;    37
Denver, Colorado           ; Madison, Wisconsin        ;            6;      14;  734;    38
San Francisco, California  ; Denver, Colorado          ;            7;      69;  802;    39
San Francisco, California  ; Denver, Colorado          ;           10;      10;  906;    40
San Francisco, California  ; Denver, Colorado          ;            4;      42;  853;    41
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      61;  772;    42
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      57;  989;    43
San Francisco, California  ; Salt Lake City, Utah      ;            9;      97;  858;    44
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      13;  658;    45
Denver, Colorado           ; Madison, Wisconsin        ;            4;      37;  634;    46
San Francisco, California  ; Salt Lake City, Utah      ;            4;      98;  606;    47
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      19;  667;    48
Kansas City, Missouri      ; Denver, Colorado          ;            1;      14;  752;    49
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      51;  634;    50
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      96;  934;    51
San Francisco, California  ; Denver, Colorado          ;            6;      62;  659;    52
Kansas City, Missouri      ; Denver, Colorado          ;            3;      40;  965;    53
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      45;  982;    54
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      20;  631;    55
San Francisco, California  ; Salt Lake City, Utah      ;            3;      44;  700;    56
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      28;  695;    57
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      35;  752;    58
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      69;  933;    59
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      18;  607;    60
San Francisco, California  ; Salt Lake City, Utah      ;            7;      33;  741;    61
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      28;  866;    62
San Francisco, California  ; Salt Lake City, Utah      ;            1;      35;  993;    63
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      44;  783;    64
Denver, Colorado           ; Madison, Wisconsin        ;            4;      14;  663;    65
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      52;  767;    66
San Francisco, California  ; Madison, Wisconsin        ;            7;       9;  888;    67
San Francisco, California  ; Denver, Colorado          ;            9;      91;  626;    68
Denver, Colorado           ; Madison, Wisconsin        ;            3;      76;  853;    69
San Francisco, California  ; Salt Lake City, Utah      ;            9;      64;  793;    70
Denver, Colorado           ; Madison, Wisconsin        ;            6;      61;  999;    71
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      71;  824;    72
San Francisco, California  ; Denver, Colorado          ;            8;      59;  888;    73
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      73;  616;    74
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      14;  645;    75
Kansas City, Missouri      ; Denver, Colorado          ;            2;      86;  750;    76
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      23;  719;    77
Kansas City, Missouri      ; Denver, Colorado          ;            1;       5;  921;    78
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      33;  746;    79
Denver, Colorado           ; Salt Lake City, Utah      ;            6;       9;  952;    80
Denver, Colorado           ; Madison, Wisconsin        ;           10;      27;  721;    81
San Francisco, California  ; Salt Lake City, Utah      ;            7;      61;  997;    82
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      30;  977;    83
Kansas City, Missouri      ; Denver, Colorado          ;            7;      92;  770;    84
Kansas City, Missouri      ; Denver, Colorado          ;            2;       1;  668;    85
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       8;  881;    86
Denver, Colorado           ; Salt Lake City, Utah      ;            5;       4;  874;    87
Denver, Colorado           ; Madison, Wisconsin        ;           10;      84;  871;    88
Denver, Colorado           ; Madison, Wisconsin        ;            3;      87;  683;    89
Denver, Colorado           ; Madison, Wisconsin        ;            1;       3;  962;    90
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      73;  952;    91
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      77;  846;    92
