#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      57;  871;     0
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      94;  991;     1
San Francisco, California  ; Madison, Wisconsin        ;            3;      57;  891;     2
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      24;  920;     3
San Francisco, California  ; Salt Lake City, Utah      ;            2;      28;  630;     4
San Francisco, California  ; Salt Lake City, Utah      ;            5;      14;  937;     5
San Francisco, California  ; Madison, Wisconsin        ;            9;      65;  864;     6
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       8;  962;     7
San Francisco, California  ; Denver, Colorado          ;            8;      34;  742;     8
San Francisco, California  ; Denver, Colorado          ;            6;      52;  844;     9
Denver, Colorado           ; Madison, Wisconsin        ;            5;      39;  724;    10
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;       1;  835;    11
San Francisco, California  ; Madison, Wisconsin        ;            4;      39;  945;    12
Kansas City, Missouri      ; Denver, Colorado          ;            8;       7;  716;    13
Denver, Colorado           ; Madison, Wisconsin        ;            9;       7;  651;    14
San Francisco, California  ; Salt Lake City, Utah      ;            1;      52;  731;    15
San Francisco, California  ; Madison, Wisconsin        ;            1;      44;  900;    16
Denver, Colorado           ; Madison, Wisconsin        ;            1;      27;  685;    17
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      45;  935;    18
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      87;  851;    19
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      77;  785;    20
San Francisco, California  ; Salt Lake City, Utah      ;            4;      40;  624;    21
San Francisco, California  ; Denver, Colorado          ;            5;      70;  978;    22
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      85;  841;    23
Denver, Colorado           ; Madison, Wisconsin        ;            2;      64;  808;    24
San Francisco, California  ; Denver, Colorado          ;            4;      40;  767;    25
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      85;  643;    26
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      28;  888;    27
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      76;  889;    28
San Francisco, California  ; Denver, Colorado          ;           10;      45;  746;    29
Denver, Colorado           ; Madison, Wisconsin        ;            5;      93;  906;    30
