NewYork; Philadelphia; 40; 1; DarkStrand; 100; 127.0.0.12; 127.0.0.19
0; Gi 0/0; Gi 0/0
1; Gi 0/1; Gi 0/1
2; Gi 0/2; Gi 0/2
3; Gi 0/3; Gi 0/3
4; Gi 0/4; Gi 0/4
5; Gi 0/5; Gi 0/5
6; Gi 0/6; Gi 0/6
7; Gi 0/7; Gi 0/7
8; Gi 0/8; Gi 0/8
9; Gi 0/9; Gi 0/9
10; Gi 0/10; Gi 0/10
11; Gi 0/11; Gi 0/11
12; Gi 0/12; Gi 0/12
13; Gi 0/13; Gi 0/13
14; Gi 0/14; Gi 0/14
15; Gi 0/15; Gi 0/15
16; Gi 0/16; Gi 0/16
17; Gi 0/17; Gi 0/17
18; Gi 0/18; Gi 0/18
19; Gi 0/19; Gi 0/19
20; Gi 0/20; Gi 0/20
21; Gi 0/21; Gi 0/21
22; Gi 0/22; Gi 0/22
23; Gi 0/23; Gi 0/23
24; Gi 0/24; Gi 0/24
25; Gi 0/25; Gi 0/25
26; Gi 0/26; Gi 0/26
27; Gi 0/27; Gi 0/27
28; Gi 0/28; Gi 0/28
29; Gi 0/29; Gi 0/29
30; Gi 0/30; Gi 0/30
31; Gi 0/31; Gi 0/31
32; Gi 0/32; Gi 0/32
33; Gi 0/33; Gi 0/33
34; Gi 0/34; Gi 0/34
35; Gi 0/35; Gi 0/35
36; Gi 0/36; Gi 0/36
37; Gi 0/37; Gi 0/37
38; Gi 0/38; Gi 0/38
39; Gi 0/39; Gi 0/39
SanAntonio; ElPaso/LasCruces; 40; 1; DarkStrand; 100; 127.0.0.4; 127.0.0.21
0; Gi 0/0; Gi 0/0
1; Gi 0/1; Gi 0/1
2; Gi 0/2; Gi 0/2
3; Gi 0/3; Gi 0/3
4; Gi 0/4; Gi 0/4
5; Gi 0/5; Gi 0/5
6; Gi 0/6; Gi 0/6
7; Gi 0/7; Gi 0/7
8; Gi 0/8; Gi 0/8
9; Gi 0/9; Gi 0/9
10; Gi 0/10; Gi 0/10
11; Gi 0/11; Gi 0/11
12; Gi 0/12; Gi 0/12
13; Gi 0/13; Gi 0/13
14; Gi 0/14; Gi 0/14
15; Gi 0/15; Gi 0/15
16; Gi 0/16; Gi 0/16
17; Gi 0/17; Gi 0/17
18; Gi 0/18; Gi 0/18
19; Gi 0/19; Gi 0/19
20; Gi 0/20; Gi 0/20
21; Gi 0/21; Gi 0/21
22; Gi 0/22; Gi 0/22
23; Gi 0/23; Gi 0/23
24; Gi 0/24; Gi 0/24
25; Gi 0/25; Gi 0/25
26; Gi 0/26; Gi 0/26
27; Gi 0/27; Gi 0/27
28; Gi 0/28; Gi 0/28
29; Gi 0/29; Gi 0/29
30; Gi 0/30; Gi 0/30
31; Gi 0/31; Gi 0/31
32; Gi 0/32; Gi 0/32
33; Gi 0/33; Gi 0/33
34; Gi 0/34; Gi 0/34
35; Gi 0/35; Gi 0/35
36; Gi 0/36; Gi 0/36
37; Gi 0/37; Gi 0/37
38; Gi 0/38; Gi 0/38
39; Gi 0/39; Gi 0/39
NewYork; Syracuse; 40; 1; DarkStrand; 100; 127.0.0.12; 127.0.0.13
0; Gi 0/0; Gi 0/0
1; Gi 0/1; Gi 0/1
2; Gi 0/2; Gi 0/2
3; Gi 0/3; Gi 0/3
4; Gi 0/4; Gi 0/4
5; Gi 0/5; Gi 0/5
6; Gi 0/6; Gi 0/6
7; Gi 0/7; Gi 0/7
8; Gi 0/8; Gi 0/8
9; Gi 0/9; Gi 0/9
10; Gi 0/10; Gi 0/10
11; Gi 0/11; Gi 0/11
12; Gi 0/12; Gi 0/12
13; Gi 0/13; Gi 0/13
14; Gi 0/14; Gi 0/14
15; Gi 0/15; Gi 0/15
16; Gi 0/16; Gi 0/16
17; Gi 0/17; Gi 0/17
18; Gi 0/18; Gi 0/18
19; Gi 0/19; Gi 0/19
20; Gi 0/20; Gi 0/20
21; Gi 0/21; Gi 0/21
22; Gi 0/22; Gi 0/22
23; Gi 0/23; Gi 0/23
24; Gi 0/24; Gi 0/24
25; Gi 0/25; Gi 0/25
26; Gi 0/26; Gi 0/26
27; Gi 0/27; Gi 0/27
28; Gi 0/28; Gi 0/28
29; Gi 0/29; Gi 0/29
30; Gi 0/30; Gi 0/30
31; Gi 0/31; Gi 0/31
32; Gi 0/32; Gi 0/32
33; Gi 0/33; Gi 0/33
34; Gi 0/34; Gi 0/34
35; Gi 0/35; Gi 0/35
36; Gi 0/36; Gi 0/36
37; Gi 0/37; Gi 0/37
38; Gi 0/38; Gi 0/38
39; Gi 0/39; Gi 0/39
